ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,dateadded,lastmodified,full.address,lat,lon,geoAddress,status
NA,'B.A.' Beach,on Russian RIver 1 mi. from Mirabelle Park,,Russian River ,CA,Cruisy Area,Cruising Areas,1980,,2/25/2020 11:58am,2/28/2020 1:12pm,", CA",38.499623,-122.904043,unclear_coded_by_hand,General City Coordinates Used
NA,'B.A.' Beach on Russian River,1 1/2 mi. from Mirabelle park,,Russian RIver,CA,Cruisy Area,Cruising Areas,1978,,2/25/2020 11:57am,2/28/2020 1:12pm,", CA",38.499623,-122.904043,unclear_coded_by_hand,General City Coordinates Used
NA,'B.A' Beach,"on Russian River, 1 1/2 mi. from Mirabelle Park",,Russian River ,CA,Cruisy Area,Cruising Areas,1979,,2/25/2020 11:57am,2/28/2020 1:12pm,", CA",38.499623,-122.904043,unclear_coded_by_hand,General City Coordinates Used
335,'Bare Ass Beach',a half hour walk from parking lot at Torrey Pines Beach St. Park to base of golf course,,San Diego,,Cruisy Area,Cruising Areas,1974,,2/25/2020 11:44am,2/28/2020 1:12pm,", CA",32.889556,-117.253649,unclear_coded_by_hand,Found
303,'Boy's Town',,North of Santa Monica Blvd near the 'Four Star,Los Angeles,,Cruisy Area,Cruising Areas,1974,,2/25/2020 11:44am,2/28/2020 1:12pm,"North of Santa Monica Blvd near the 'Four Star, CA",34.052234,-118.243685,unclear_coded_by_hand,General City Coordinates Used
230,'Boys Town',N. of Santa Monica Blvd. nr. the Four Star,,Hollywood,,Cruisy Area,Cruisy Areas,1973,,2/25/2020 11:42am,2/28/2020 1:12pm,", CA",34.084183,-118.385292,unclear_coded_by_hand,Found
NA,'Castro Village',Castro betw. 18th & Market Sts.,,San Francisco,CA,"(*),Cruisy Area",Cruising Areas,1978,,2/25/2020 11:57am,2/28/2020 1:12pm,", CA",37.759767,-122.444146,unclear_coded_by_hand,Found
734,'Castro Village',,Castro St. Betw. 18th & Market,San Francisco,CA,Cruisy Area,Cruising Areas,1979,,2/25/2020 11:57am,2/28/2020 1:12pm,"Castro St. Betw. 18th & Market, CA",37.759767,-122.444146,unclear_coded_by_hand,Found
659,'Cruisy jacuzzi',,,Palm Springs,CA,Cruisy Area,Cruising Areas,1979,,2/25/2020 11:57am,2/28/2020 1:12pm,", CA",33.894667,-116.615475,unclear_coded_by_hand,Found
NA,'Cruisy jacuzzi',at Desert Palms (Late),,Palm Springs,CA,Cruisy Area,Cruising Areas,1980,,2/25/2020 11:58am,2/28/2020 1:12pm,", CA",33.894667,-116.615475,unclear_coded_by_hand,Found
,'Devils Slide' S. on Hwy 1,,,San Francisco,,Cruisy Area,Cruising Areas,1974,,,,,37.774843,-122.437893,unclear_coded_by_hand,General City Coordinates Used
263,'F' St.,bet. 5th & Columbia,,San Diego,,Cruisy Area,Cruisy Areas,1973,Coordinates for the middle of this block range. The construction of Horton Plaza in Downtown San Diego changed the streets slightly making this location difficult to approximate.,2/25/2020 11:42am,2/28/2020 1:12pm,", CA",32.713589,-117.163858,unclear_coded_by_hand,Found
NA,'F' St. Bookstore,4th & F and 2004 University,321 'F' St.,San Diego,CA,(*),Book Store,1980,,2/25/2020 11:58am,2/28/2020 1:12pm,"321 'F' St., CA",32.713615,-117.161049,unclear_coded_by_hand,Found
698,'F' St. Bookstore,,321 'F' St.,San Diego,CA,(*),Book Store,1979,,2/25/2020 11:57am,2/28/2020 1:12pm,"321 'F' St., CA",32.713615,-117.161049,unclear_coded_by_hand,Found
